doc_id,text,response_type,sex,age_cohorts,political_id3,close_nkmigrants
nkmigrants_interviews_4361,지인이 많지 않아서,vote,Female,60+,Centrist,Very distant
nkmigrants_interviews_4362,결혼하여 안정적인 삶을 유지할 것으로 예상,hire,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4363,경험위주 결정이다,neighbor,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4364,결혼했지만 20대 후반으로 호감,vote,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4365,주변에도 정착민이 있어 경험자다,hire,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4366,굳이 따지자면 중국체류기간이 짧아서...?,neighbor,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4367,주위에 있다,vote,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4368,어쩔수 없이 선택해습니다....;;;,hire,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4369,한국인 동료만 있어서,neighbor,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4370,한국에 조금이라도 더 체류했기때문,vote,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4371,아이가 있어서,hire,Female,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4372,평범한 생활인,neighbor,Female,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4373,컴퓨터 프로그래머라서,vote,Female,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4374,한국 체류기간이 길어서,hire,Male,60+,Centrist,Very distant
nkmigrants_interviews_4375,최근도착,neighbor,Male,60+,Centrist,Very distant
nkmigrants_interviews_4376,한국내 체류기간이 길어서,vote,Male,60+,Centrist,Very distant
nkmigrants_interviews_4377,거주기간 및 직업,hire,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4378,인간관계,neighbor,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4379,직업 및 혼인관계,vote,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4380,인간관계,hire,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4381,a의 북한 남자는 가부장적이고 말이 안 통할 것 같다,neighbor,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4382,인간관계,vote,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4383,프로필b는 나이가 18살이라 선거에서 투표하기에는 너무 어리다.,hire,Male,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4384,결혼 및 안정적인 직업이 있음,neighbor,Male,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4385,탈북민과 상관없이 요즘 18살짜리 한국 남자애들 멀쩡한 정신 별로 없고 싸가지 없다. 이웃으로 47세 여성이 훨씬 낫다.,vote,Male,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4386,결혼과 자녀 등의 안정적인 가정생활을 지속하고 있음,hire,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4387,한국체류기간이 더 길어서,neighbor,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4388,안정적인 생활을 하고 있음,vote,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4389,한국에 좀더 체류해서,hire,Male,18-29,Progressive,Somewhat close
nkmigrants_interviews_4390,체류기간,neighbor,Male,18-29,Progressive,Somewhat close
nkmigrants_interviews_4391,젊어서,vote,Male,18-29,Progressive,Somewhat close
nkmigrants_interviews_4392,좋음,hire,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4393,일하기에 적당한 나이이다,neighbor,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4394,다행,vote,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4395,인맥 및 직업,hire,Female,18-29,Centrist,Very distant
nkmigrants_interviews_4396,다행,neighbor,Female,18-29,Centrist,Very distant
nkmigrants_interviews_4397,한국내체류기간,vote,Female,18-29,Centrist,Very distant
nkmigrants_interviews_4398,한국내 체류기간이 B보다 길어서 적응을 더 잘할것 같다.,hire,Male,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4399,결혼을 하여 비교적 안정적으로 한국사회에 적응하였을 것 같고 현재 직업이 컴퓨터 프로그래머라서 무직인 사람보다 나을 것 같다. 그런데 문항에 오류가 있다. 연령이 18세이고 한국내 체류기간이 12년인데 B의 경우 중국에서 체류기간도 12년이다.,neighbor,Male,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4400,무직보다는 직업을 가진 사람이 더 성실할것 같다,vote,Male,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4401,"연령대가 연륜과 경험이 풍부할 것으로 예상되고, 탈북민과 결혼하고 자녀를 두고 있어서 안정적으로 잘 생활하는 사람일 것 같아서",hire,Male,30-39,Centrist,Very distant
nkmigrants_interviews_4402,가정,neighbor,Male,30-39,Centrist,Very distant
nkmigrants_interviews_4403,"사무직 직원으로 일하면서 한국생활에 정착하고 있고, 나와 같은 성별로 도움을 주며 지내고 싶다.",vote,Male,30-39,Centrist,Very distant
nkmigrants_interviews_4404,한국인,hire,Male,40-49,Conservative,Somewhat close
nkmigrants_interviews_4405,나이와 현재 직업이 맘에 들어서,neighbor,Male,40-49,Conservative,Somewhat close
nkmigrants_interviews_4406,사무직,vote,Male,40-49,Conservative,Somewhat close
nkmigrants_interviews_4407,전 조선노동당원이 아니라서,hire,Male,40-49,Centrist,Somewhat distant
nkmigrants_interviews_4408,국내 체류기간이 길고 직업이 있어서,neighbor,Male,40-49,Centrist,Somewhat distant
nkmigrants_interviews_4409,전 노동당원이 아니고 여자라서,vote,Male,40-49,Centrist,Somewhat distant
nkmigrants_interviews_4410,한국 내 체류기간에 비례,hire,Female,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4411,나이가 어리고 인맥이 넓어 보여서,neighbor,Female,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4412,적절한 나이,vote,Female,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4413,나이가 어리고 직업이 마음에 들어서,hire,Female,60+,Centrist,Somewhat distant
nkmigrants_interviews_4414,전 노동당원이 아니어서,neighbor,Female,60+,Centrist,Somewhat distant
nkmigrants_interviews_4415,나이가 어리고 직업이 좋아서,vote,Female,60+,Centrist,Somewhat distant
nkmigrants_interviews_4416,아직 사회의 때가 덜 묻은거 같아서,hire,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4417,능력우선,neighbor,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4418,인생경험이 많은 사람이라서,vote,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4419,사회경력,hire,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4420,유능해보임,neighbor,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4421,사회환경,vote,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4422,정상적인나이임(A는나이가이상함 18세 결혼??),hire,Male,40-49,Progressive,Very close
nkmigrants_interviews_4423,가족,neighbor,Male,40-49,Progressive,Very close
